时间,测试图片路径,缺陷数量
2026-02-20 10:34:24,temp_test.jpg,8
2026-02-20 10:34:25,temp_test.jpg,4
2026-02-20 10:34:26,temp_test.jpg,13
2026-02-20 10:34:27,temp_test.jpg,13
2026-02-20 10:34:28,temp_test.jpg,7
2026-02-20 10:34:29,temp_test.jpg,16
2026-02-20 10:34:30,temp_test.jpg,9
2026-02-20 10:34:31,temp_test.jpg,12
2026-02-20 10:34:32,temp_test.jpg,5
2026-02-20 10:34:33,temp_test.jpg,11
2026-02-20 10:34:34,temp_test.jpg,8
2026-02-20 10:34:35,temp_test.jpg,12
2026-02-20 10:34:36,temp_test.jpg,9
2026-02-20 10:35:20,temp_test.jpg,10
2026-02-20 10:35:21,temp_test.jpg,18
2026-02-20 10:35:22,temp_test.jpg,10
2026-02-20 10:35:23,temp_test.jpg,2
