时间,测试图片路径,缺陷数量
2026-02-19 09:48:03,test.jpg,1
2026-02-19 09:54:35,test.jpg,1
2026-02-19 09:57:17,_temp_test.jpg,6
2026-02-19 09:57:18,_temp_test.jpg,13
2026-02-19 09:57:19,_temp_test.jpg,17
2026-02-19 09:57:19,_temp_test.jpg,3
2026-02-19 09:57:20,_temp_test.jpg,28
2026-02-19 09:57:20,_temp_test.jpg,26
2026-02-19 09:57:21,_temp_test.jpg,24
2026-02-19 09:57:21,_temp_test.jpg,11
2026-02-19 09:57:22,_temp_test.jpg,22
2026-02-19 09:57:22,_temp_test.jpg,8
2026-02-19 09:57:23,_temp_test.jpg,4
2026-02-19 09:57:23,_temp_test.jpg,7
2026-02-19 09:57:24,_temp_test.jpg,26
2026-02-19 09:57:24,_temp_test.jpg,22
2026-02-19 09:57:25,_temp_test.jpg,25
2026-02-19 09:57:26,_temp_test.jpg,23
2026-02-19 09:57:26,_temp_test.jpg,21
2026-02-19 09:57:27,_temp_test.jpg,16
2026-02-19 09:57:27,_temp_test.jpg,11
2026-02-19 09:57:28,_temp_test.jpg,19
2026-02-19 09:57:28,_temp_test.jpg,13
2026-02-19 09:57:29,_temp_test.jpg,25
2026-02-19 09:57:29,_temp_test.jpg,28
2026-02-19 09:57:30,_temp_test.jpg,3
2026-02-19 09:57:30,_temp_test.jpg,26
2026-02-19 09:57:31,_temp_test.jpg,24
2026-02-19 09:57:31,_temp_test.jpg,16
2026-02-19 09:57:32,_temp_test.jpg,11
2026-02-19 09:57:33,_temp_test.jpg,2
2026-02-19 09:57:33,_temp_test.jpg,23
2026-02-19 09:57:34,_temp_test.jpg,11
2026-02-19 09:57:34,_temp_test.jpg,22
2026-02-19 09:57:35,_temp_test.jpg,11
2026-02-19 09:57:35,_temp_test.jpg,23
2026-02-19 09:57:36,_temp_test.jpg,13
2026-02-19 09:57:36,_temp_test.jpg,25
2026-02-19 10:03:02,_temp_test.jpg,16
2026-02-19 10:03:02,_temp_test.jpg,5
2026-02-19 10:03:03,_temp_test.jpg,1
2026-02-19 10:03:03,_temp_test.jpg,12
2026-02-19 10:03:04,_temp_test.jpg,11
2026-02-19 10:03:04,_temp_test.jpg,1
2026-02-19 10:03:05,_temp_test.jpg,2
2026-02-19 10:03:05,_temp_test.jpg,6
2026-02-19 10:03:06,_temp_test.jpg,5
2026-02-19 10:03:06,_temp_test.jpg,10
2026-02-19 10:03:07,_temp_test.jpg,4
2026-02-19 10:03:07,_temp_test.jpg,4
2026-02-19 10:03:08,_temp_test.jpg,4
2026-02-19 10:03:09,_temp_test.jpg,8
2026-02-19 10:03:09,_temp_test.jpg,5
2026-02-19 10:03:10,_temp_test.jpg,1
2026-02-19 10:03:10,_temp_test.jpg,1
2026-02-19 10:03:11,_temp_test.jpg,5
2026-02-19 10:03:11,_temp_test.jpg,7
2026-02-19 10:03:12,_temp_test.jpg,3
2026-02-19 10:03:12,_temp_test.jpg,5
2026-02-19 10:03:13,_temp_test.jpg,3
2026-02-19 10:03:13,_temp_test.jpg,4
2026-02-19 10:03:14,_temp_test.jpg,9
2026-02-19 10:03:14,_temp_test.jpg,3
2026-02-19 10:03:15,_temp_test.jpg,4
2026-02-19 10:03:15,_temp_test.jpg,4
2026-02-19 10:03:16,_temp_test.jpg,4
2026-02-19 10:03:16,_temp_test.jpg,2
2026-02-19 10:03:17,_temp_test.jpg,7
2026-02-19 10:03:17,_temp_test.jpg,2
2026-02-19 10:03:18,_temp_test.jpg,5
2026-02-19 10:03:18,_temp_test.jpg,4
2026-02-19 10:03:19,_temp_test.jpg,5
